mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_min_samples_split,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0007083415985107422,0.0002784252166748047,0.7909698996655519,0.8110373134706907,56,{'min_samples_split': 56},38,0.8099173553719008,0.8134171907756813,0.775,0.8075313807531381,0.7983193277310925,0.8162839248434238,0.8235294117647058,0.81419624217119,0.7478991596638656,0.8037578288100209,1.5740682772055665e-05,8.022209489751088e-06,0.026733604112206433,0.004657296180469369
0.0007133960723876953,0.0002749919891357422,0.7909698996655519,0.8110373134706907,57,{'min_samples_split': 57},38,0.8099173553719008,0.8134171907756813,0.775,0.8075313807531381,0.7983193277310925,0.8162839248434238,0.8235294117647058,0.81419624217119,0.7478991596638656,0.8037578288100209,1.978236405873586e-05,6.552998729147504e-06,0.026733604112206433,0.004657296180469369
0.0007017612457275391,0.0002766132354736328,0.7909698996655519,0.8110373134706907,58,{'min_samples_split': 58},38,0.8099173553719008,0.8134171907756813,0.775,0.8075313807531381,0.7983193277310925,0.8162839248434238,0.8235294117647058,0.81419624217119,0.7478991596638656,0.8037578288100209,1.0361310467179161e-05,2.960233344110252e-06,0.026733604112206433,0.004657296180469369
0.0007204055786132812,0.0002764225006103516,0.7909698996655519,0.8110373134706907,59,{'min_samples_split': 59},38,0.8099173553719008,0.8134171907756813,0.775,0.8075313807531381,0.7983193277310925,0.8162839248434238,0.8235294117647058,0.81419624217119,0.7478991596638656,0.8037578288100209,2.3494865700702803e-05,5.07691637199637e-06,0.026733604112206433,0.004657296180469369
0.0006991863250732422,0.0002779960632324219,0.7909698996655519,0.810619776936244,60,{'min_samples_split': 60},38,0.8099173553719008,0.8134171907756813,0.775,0.8075313807531381,0.7983193277310925,0.8162839248434238,0.8235294117647058,0.81419624217119,0.7478991596638656,0.8016701461377871,1.1711765172162741e-05,6.2844894322840105e-06,0.026733604112206433,0.0053354152920419215
0.0007001876831054688,0.00027737617492675783,0.7909698996655519,0.810200489724504,61,{'min_samples_split': 61},38,0.8099173553719008,0.8113207547169812,0.775,0.8075313807531381,0.7983193277310925,0.8162839248434238,0.8235294117647058,0.81419624217119,0.7478991596638656,0.8016701461377871,1.865731638481434e-05,8.022492914983551e-06,0.026733604112206433,0.005179191414171567
0.0007373809814453125,0.00028281211853027345,0.7909698996655519,0.810200489724504,62,{'min_samples_split': 62},38,0.8099173553719008,0.8113207547169812,0.775,0.8075313807531381,0.7983193277310925,0.8162839248434238,0.8235294117647058,0.81419624217119,0.7478991596638656,0.8016701461377871,3.946512427911019e-05,2.0621429212373967e-05,0.026733604112206433,0.005179191414171567
0.0007084369659423828,0.00027484893798828124,0.7909698996655519,0.810200489724504,63,{'min_samples_split': 63},38,0.8099173553719008,0.8113207547169812,0.775,0.8075313807531381,0.7983193277310925,0.8162839248434238,0.8235294117647058,0.81419624217119,0.7478991596638656,0.8016701461377871,1.712011419549685e-05,5.658914069803923e-06,0.026733604112206433,0.005179191414171567
0.0007147789001464844,0.0002743721008300781,0.7909698996655519,0.810200489724504,64,{'min_samples_split': 64},38,0.8099173553719008,0.8113207547169812,0.775,0.8075313807531381,0.7983193277310925,0.8162839248434238,0.8235294117647058,0.81419624217119,0.7478991596638656,0.8016701461377871,2.2967023961775153e-05,3.979233941082966e-06,0.026733604112206433,0.005179191414171567
0.0007174015045166016,0.0002774238586425781,0.7892976588628763,0.8081040536658038,65,{'min_samples_split': 65},56,0.8016528925619835,0.80083857442348,0.775,0.8075313807531381,0.7983193277310925,0.8162839248434238,0.8235294117647058,0.81419624217119,0.7478991596638656,0.8016701461377871,2.562750205380493e-05,8.043721345504586e-06,0.025735966163540396,0.006301354810391606
0.0006859779357910156,0.0002776145935058594,0.7892976588628763,0.8051812979246764,66,{'min_samples_split': 66},56,0.8016528925619835,0.80083857442348,0.775,0.8075313807531381,0.7983193277310925,0.8037578288100209,0.8235294117647058,0.8121085594989561,0.7478991596638656,0.8016701461377871,1.2889076857007374e-05,4.963689300412409e-06,0.025735966163540396,0.004164697847813693
0.0007002353668212891,0.0002755165100097656,0.7892976588628763,0.8051812979246764,67,{'min_samples_split': 67},56,0.8016528925619835,0.80083857442348,0.775,0.8075313807531381,0.7983193277310925,0.8037578288100209,0.8235294117647058,0.8121085594989561,0.7478991596638656,0.8016701461377871,2.3872355981991322e-05,5.679368767598816e-06,0.025735966163540396,0.004164697847813693
0.0007098197937011718,0.0002825736999511719,0.7892976588628763,0.8051812979246764,68,{'min_samples_split': 68},56,0.8016528925619835,0.80083857442348,0.775,0.8075313807531381,0.7983193277310925,0.8037578288100209,0.8235294117647058,0.8121085594989561,0.7478991596638656,0.8016701461377871,3.948499604566488e-05,1.3043392155173591e-05,0.025735966163540396,0.004164697847813693
0.0006926059722900391,0.00027256011962890626,0.7892976588628763,0.8051812979246764,69,{'min_samples_split': 69},56,0.8016528925619835,0.80083857442348,0.775,0.8075313807531381,0.7983193277310925,0.8037578288100209,0.8235294117647058,0.8121085594989561,0.7478991596638656,0.8016701461377871,1.690520549016185e-05,3.7588562345535957e-06,0.025735966163540396,0.004164697847813693
0.0006925582885742188,0.0002749919891357422,0.7892976588628763,0.8051812979246764,70,{'min_samples_split': 70},56,0.8016528925619835,0.80083857442348,0.775,0.8075313807531381,0.7983193277310925,0.8037578288100209,0.8235294117647058,0.8121085594989561,0.7478991596638656,0.8016701461377871,3.599833167524059e-05,4.505038764546083e-06,0.025735966163540396,0.004164697847813693
0.0006964683532714843,0.00027413368225097655,0.7892976588628763,0.8051812979246764,71,{'min_samples_split': 71},56,0.8016528925619835,0.80083857442348,0.775,0.8075313807531381,0.7983193277310925,0.8037578288100209,0.8235294117647058,0.8121085594989561,0.7478991596638656,0.8016701461377871,2.1797456896463756e-05,4.807313217593597e-06,0.025735966163540396,0.004164697847813693
0.00068511962890625,0.00027518272399902345,0.782608695652174,0.8043462248557829,72,{'min_samples_split': 72},70,0.8016528925619835,0.80083857442348,0.775,0.8075313807531381,0.7983193277310925,0.8037578288100209,0.7899159663865546,0.8079331941544885,0.7478991596638656,0.8016701461377871,1.8929053863940788e-05,4.795474276265956e-06,0.01960833887558533,0.00292652646005896
