mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_jobs,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0004401206970214844,8.330523931706255e-05,0.0050201892852783205,0.00017948510412649926,-1,420,"{'n_jobs': -1, 'n_neighbors': 420}",0.7666666666666667,0.7583333333333333,0.7583333333333333,0.7647058823529411,0.7647058823529411,0.762549019607843,0.0035157688386355246,95,0.7615062761506276,0.7635983263598326,0.7635983263598326,0.7620041753653445,0.7620041753653445,0.7625422559201964,0.0008812360633703222
0.0004229545593261719,6.970635153428896e-06,0.005308723449707032,0.00015770026376612291,-1,421,"{'n_jobs': -1, 'n_neighbors': 421}",0.7666666666666667,0.7583333333333333,0.7583333333333333,0.7647058823529411,0.7647058823529411,0.762549019607843,0.0035157688386355246,95,0.7615062761506276,0.7635983263598326,0.7635983263598326,0.7620041753653445,0.7620041753653445,0.7625422559201964,0.0008812360633703222
0.00045313835144042967,6.176478907117772e-05,0.005385923385620117,0.00019154207365695966,-1,422,"{'n_jobs': -1, 'n_neighbors': 422}",0.7666666666666667,0.7583333333333333,0.7583333333333333,0.7647058823529411,0.7647058823529411,0.762549019607843,0.0035157688386355246,95,0.7615062761506276,0.7635983263598326,0.7635983263598326,0.7620041753653445,0.7620041753653445,0.7625422559201964,0.0008812360633703222
0.00042176246643066406,1.6685212860874547e-05,0.005171585083007813,0.00014639214503004582,-1,423,"{'n_jobs': -1, 'n_neighbors': 423}",0.7666666666666667,0.7583333333333333,0.7583333333333333,0.7647058823529411,0.7647058823529411,0.762549019607843,0.0035157688386355246,95,0.7615062761506276,0.7635983263598326,0.7635983263598326,0.7620041753653445,0.7620041753653445,0.7625422559201964,0.0008812360633703222
0.0004140377044677734,1.2693723994147693e-05,0.005063199996948242,4.237432663058765e-05,-1,424,"{'n_jobs': -1, 'n_neighbors': 424}",0.7666666666666667,0.7583333333333333,0.7583333333333333,0.7647058823529411,0.7647058823529411,0.762549019607843,0.0035157688386355246,95,0.7615062761506276,0.7635983263598326,0.7635983263598326,0.7620041753653445,0.7620041753653445,0.7625422559201964,0.0008812360633703222
0.00042405128479003904,1.4404586813320117e-05,0.005218935012817383,0.0001356933449274682,-1,425,"{'n_jobs': -1, 'n_neighbors': 425}",0.7666666666666667,0.7583333333333333,0.7583333333333333,0.7647058823529411,0.7647058823529411,0.762549019607843,0.0035157688386355246,95,0.7615062761506276,0.7635983263598326,0.7635983263598326,0.7620041753653445,0.7620041753653445,0.7625422559201964,0.0008812360633703222
0.0004288196563720703,1.026540810786012e-05,0.005320072174072266,0.00013751772007259463,-1,426,"{'n_jobs': -1, 'n_neighbors': 426}",0.7666666666666667,0.7583333333333333,0.7583333333333333,0.7647058823529411,0.7647058823529411,0.762549019607843,0.0035157688386355246,95,0.7615062761506276,0.7635983263598326,0.7635983263598326,0.7620041753653445,0.7620041753653445,0.7625422559201964,0.0008812360633703222
0.0004376888275146484,2.0080110398364378e-05,0.005329608917236328,0.00031017342670515825,-1,427,"{'n_jobs': -1, 'n_neighbors': 427}",0.7666666666666667,0.7583333333333333,0.7583333333333333,0.7647058823529411,0.7647058823529411,0.762549019607843,0.0035157688386355246,95,0.7615062761506276,0.7635983263598326,0.7635983263598326,0.7620041753653445,0.7620041753653445,0.7625422559201964,0.0008812360633703222
0.0003913402557373047,5.034190090263045e-06,0.004982185363769531,4.1801896226078074e-05,-1,428,"{'n_jobs': -1, 'n_neighbors': 428}",0.7666666666666667,0.7583333333333333,0.7583333333333333,0.7647058823529411,0.7647058823529411,0.762549019607843,0.0035157688386355246,95,0.7615062761506276,0.7635983263598326,0.7635983263598326,0.7620041753653445,0.7620041753653445,0.7625422559201964,0.0008812360633703222
0.000482177734375,7.853170699176301e-05,0.005328083038330078,0.00025674174626351637,-1,429,"{'n_jobs': -1, 'n_neighbors': 429}",0.7666666666666667,0.7583333333333333,0.7583333333333333,0.7647058823529411,0.7647058823529411,0.762549019607843,0.0035157688386355246,95,0.7615062761506276,0.7635983263598326,0.7635983263598326,0.7620041753653445,0.7620041753653445,0.7625422559201964,0.0008812360633703222
0.0004191398620605469,7.422441751869471e-06,0.005213212966918945,0.00014431375561166257,-1,430,"{'n_jobs': -1, 'n_neighbors': 430}",0.7666666666666667,0.7583333333333333,0.7583333333333333,0.7647058823529411,0.7647058823529411,0.762549019607843,0.0035157688386355246,95,0.7615062761506276,0.7635983263598326,0.7635983263598326,0.7620041753653445,0.7620041753653445,0.7625422559201964,0.0008812360633703222
0.00042409896850585936,2.874082323916167e-05,0.005121803283691407,0.00011546093633534806,-1,431,"{'n_jobs': -1, 'n_neighbors': 431}",0.7666666666666667,0.7583333333333333,0.7583333333333333,0.7647058823529411,0.7647058823529411,0.762549019607843,0.0035157688386355246,95,0.7615062761506276,0.7635983263598326,0.7635983263598326,0.7620041753653445,0.7620041753653445,0.7625422559201964,0.0008812360633703222
0.0004253387451171875,3.2712210697818684e-05,0.005109262466430664,8.696827422530823e-05,-1,432,"{'n_jobs': -1, 'n_neighbors': 432}",0.7666666666666667,0.7583333333333333,0.7583333333333333,0.7647058823529411,0.7647058823529411,0.762549019607843,0.0035157688386355246,95,0.7615062761506276,0.7635983263598326,0.7635983263598326,0.7620041753653445,0.7620041753653445,0.7625422559201964,0.0008812360633703222
0.0004019737243652344,8.442845921337974e-06,0.0050621509552001955,5.374980699961878e-05,-1,433,"{'n_jobs': -1, 'n_neighbors': 433}",0.7666666666666667,0.7583333333333333,0.7583333333333333,0.7647058823529411,0.7647058823529411,0.762549019607843,0.0035157688386355246,95,0.7615062761506276,0.7635983263598326,0.7635983263598326,0.7620041753653445,0.7620041753653445,0.7625422559201964,0.0008812360633703222
0.00039882659912109374,9.056642848174567e-06,0.005144309997558594,0.00010266564246749572,-1,434,"{'n_jobs': -1, 'n_neighbors': 434}",0.7666666666666667,0.7583333333333333,0.7583333333333333,0.7647058823529411,0.7647058823529411,0.762549019607843,0.0035157688386355246,95,0.7615062761506276,0.7635983263598326,0.7635983263598326,0.7620041753653445,0.7620041753653445,0.7625422559201964,0.0008812360633703222
