mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_jobs,param_n_neighbors,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0009645938873291016,0.1299504280090332,0.6906354515050167,0.9276638143628679,-1,1,"{'n_neighbors': 1, 'n_jobs': -1}",129,0.6446280991735537,0.9056603773584906,0.6666666666666666,0.9435146443514645,0.7647058823529411,0.9478079331941545,0.7142857142857143,0.9248434237995825,0.6638655462184874,0.9164926931106472,0.00015570061438598947,0.0024010778386975057,0.04346572010621678,0.015962043276368312
0.0008122920989990234,0.12615647315979003,0.7658862876254181,0.8315324614118037,-1,2,"{'n_neighbors': 2, 'n_jobs': -1}",69,0.7768595041322314,0.8385744234800838,0.7583333333333333,0.8430962343096234,0.7983193277310925,0.8225469728601252,0.773109243697479,0.8350730688935282,0.7226890756302521,0.8183716075156576,3.860467271837264e-05,0.000635741298825942,0.025036897458679416,0.009484651332876055
0.0009657859802246094,0.12934985160827636,0.7357859531772575,0.8269159308831873,-1,3,"{'n_neighbors': 3, 'n_jobs': -1}",128,0.7355371900826446,0.8134171907756813,0.7166666666666667,0.8368200836820083,0.7815126050420168,0.8329853862212944,0.7478991596638656,0.8434237995824635,0.6974789915966386,0.8079331941544885,0.00015035065017675447,0.0008723273699005564,0.028472178352685912,0.01378405265484208
0.0009321689605712891,0.13005342483520507,0.7608695652173914,0.8156380879036679,-1,4,"{'n_neighbors': 4, 'n_jobs': -1}",125,0.768595041322314,0.8197064989517819,0.7416666666666667,0.8138075313807531,0.7899159663865546,0.8225469728601252,0.7899159663865546,0.8204592901878914,0.7142857142857143,0.8016701461377871,6.47088228330527e-05,0.0005685656710976667,0.029217996165415,0.007562843190520407
0.0008378505706787109,0.12722430229187012,0.7675585284280937,0.8156389577485573,-1,5,"{'n_neighbors': 5, 'n_jobs': -1}",66,0.7603305785123967,0.8176100628930818,0.7583333333333333,0.8200836820083682,0.7899159663865546,0.8183716075156576,0.7983193277310925,0.8183716075156576,0.7310924369747899,0.8037578288100209,8.647168076006452e-05,0.0014977987878695177,0.02408391821002067,0.005995611788465245
0.0008771896362304687,0.1284355640411377,0.7809364548494984,0.8143802226059428,-1,6,"{'n_neighbors': 6, 'n_jobs': -1}",35,0.7768595041322314,0.8113207547169812,0.7583333333333333,0.8179916317991632,0.8067226890756303,0.81419624217119,0.7815126050420168,0.8058455114822547,0.7815126050420168,0.8225469728601252,4.822245481557364e-05,0.001837001851854938,0.015438138291842545,0.005691635487341588
0.0008348464965820312,0.1266453742980957,0.7759197324414716,0.8152126714901489,-1,7,"{'n_neighbors': 7, 'n_jobs': -1}",43,0.768595041322314,0.8092243186582809,0.75,0.8158995815899581,0.8235294117647058,0.81419624217119,0.7899159663865546,0.8162839248434238,0.7478991596638656,0.8204592901878914,9.006223246165465e-05,0.0011285709834904535,0.0281417634841213,0.00363427943865093
0.0008774280548095703,0.13009357452392578,0.782608695652174,0.8093706540374711,-1,8,"{'n_neighbors': 8, 'n_jobs': -1}",28,0.768595041322314,0.8092243186582809,0.7583333333333333,0.8242677824267782,0.7983193277310925,0.8037578288100209,0.8151260504201681,0.8016701461377871,0.773109243697479,0.8079331941544885,1.807231701674349e-05,0.00046547736025977427,0.02086811815425227,0.007934907285569061
0.0009034156799316406,0.12833089828491212,0.7842809364548495,0.8156389504235477,-1,9,"{'n_neighbors': 9, 'n_jobs': -1}",27,0.7851239669421488,0.8134171907756813,0.75,0.8284518828451883,0.8235294117647058,0.8037578288100209,0.7815126050420168,0.8162839248434238,0.7815126050420168,0.8162839248434238,8.276461881859632e-05,0.0017546651998196683,0.023357214154737436,0.007887971703478913
0.0009028434753417969,0.1293581485748291,0.782608695652174,0.8072812206879438,-1,10,"{'n_neighbors': 10, 'n_jobs': -1}",28,0.7768595041322314,0.8071278825995807,0.75,0.8242677824267782,0.8067226890756303,0.7995824634655533,0.8067226890756303,0.8037578288100209,0.773109243697479,0.8016701461377871,6.348104988339116e-05,0.0011087632435571669,0.02166677348877247,0.00885139653364051
0.0009533882141113282,0.13065457344055176,0.7859531772575251,0.8127170755148241,-1,11,"{'n_neighbors': 11, 'n_jobs': -1}",24,0.8099173553719008,0.8176100628930818,0.75,0.8221757322175732,0.8151260504201681,0.7954070981210856,0.7983193277310925,0.8079331941544885,0.7563025210084033,0.8204592901878914,2.4387505362457223e-05,0.000456362681495265,0.027392154949957333,0.009958616755248843
0.0008368492126464844,0.12760324478149415,0.7809364548494984,0.8106276421652969,-1,12,"{'n_neighbors': 12, 'n_jobs': -1}",35,0.7768595041322314,0.8155136268343816,0.7416666666666667,0.8221757322175732,0.8235294117647058,0.7995824634655533,0.7899159663865546,0.8058455114822547,0.773109243697479,0.8100208768267223,5.8162406614963986e-05,0.002504869183274142,0.026496542353235997,0.007777713553443238
0.00085601806640625,0.12664456367492677,0.7792642140468228,0.81271094997555,-1,13,"{'n_neighbors': 13, 'n_jobs': -1}",39,0.8016528925619835,0.8113207547169812,0.7333333333333333,0.8200836820083682,0.8067226890756303,0.7974947807933194,0.7899159663865546,0.8162839248434238,0.7647058823529411,0.8183716075156576,4.328032108042298e-05,0.0006173949605422473,0.02719477779584865,0.008156357253820995
0.0009203910827636719,0.12676544189453126,0.782608695652174,0.808114546742049,-1,14,"{'n_neighbors': 14, 'n_jobs': -1}",28,0.8016528925619835,0.8071278825995807,0.75,0.8200836820083682,0.8067226890756303,0.7954070981210856,0.7899159663865546,0.8016701461377871,0.7647058823529411,0.8162839248434238,6.496590860392002e-05,0.0002727269865810176,0.021837622831218314,0.009099252643149753
0.0009114742279052734,0.12665834426879882,0.7892976588628763,0.8118697477048776,-1,15,"{'n_neighbors': 15, 'n_jobs': -1}",12,0.8016528925619835,0.8029350104821803,0.7666666666666667,0.8221757322175732,0.8151260504201681,0.8037578288100209,0.7983193277310925,0.81419624217119,0.7647058823529411,0.8162839248434238,5.531290481792279e-05,0.0002548278001970079,0.020073745640510517,0.0074396721766964245
0.0009195804595947266,0.12916760444641112,0.7926421404682275,0.8089443714415674,-1,16,"{'n_neighbors': 16, 'n_jobs': -1}",4,0.8016528925619835,0.8029350104821803,0.775,0.8158995815899581,0.8067226890756303,0.8058455114822547,0.7983193277310925,0.8037578288100209,0.7815126050420168,0.8162839248434238,4.772851746629737e-05,0.004179885462460784,0.012223021701792285,0.00591370558961919
0.0011858463287353516,0.15016283988952636,0.7892976588628763,0.8118715020446755,-1,17,"{'n_neighbors': 17, 'n_jobs': -1}",12,0.8016528925619835,0.8071278825995807,0.7666666666666667,0.8179916317991632,0.7983193277310925,0.8121085594989561,0.8067226890756303,0.8100208768267223,0.773109243697479,0.8121085594989561,0.00025731033517281926,0.033509138267817346,0.01619971687531253,0.0035635689925194954
0.000908803939819336,0.13084444999694825,0.782608695652174,0.8118688741974832,-1,18,"{'n_neighbors': 18, 'n_jobs': -1}",28,0.7851239669421488,0.8029350104821803,0.7583333333333333,0.8200836820083682,0.7899159663865546,0.8100208768267223,0.7983193277310925,0.8121085594989561,0.7815126050420168,0.81419624217119,6.970723223602131e-05,0.00565822200103696,0.013398314632041846,0.005589028059770339
0.000865030288696289,0.12751097679138185,0.7859531772575251,0.8076891376535397,-1,19,"{'n_neighbors': 19, 'n_jobs': -1}",24,0.7768595041322314,0.80083857442348,0.7666666666666667,0.8138075313807531,0.8235294117647058,0.8037578288100209,0.7983193277310925,0.8100208768267223,0.7647058823529411,0.8100208768267223,9.856875739033157e-05,0.0018268775194673305,0.022195060775035667,0.004705192084004384
0.000933980941772461,0.12985100746154785,0.7909698996655519,0.8085259613997264,-1,20,"{'n_neighbors': 20, 'n_jobs': -1}",9,0.7851239669421488,0.8029350104821803,0.7666666666666667,0.8138075313807531,0.8067226890756303,0.8079331941544885,0.7983193277310925,0.8037578288100209,0.7983193277310925,0.81419624217119,2.0088148352439814e-05,0.0005832087777233635,0.01401134700217072,0.004783142461900146
0.0008252143859863281,0.12678136825561523,0.7876254180602007,0.8089487426410434,-1,21,"{'n_neighbors': 21, 'n_jobs': -1}",20,0.8016528925619835,0.8050314465408805,0.7583333333333333,0.8221757322175732,0.7983193277310925,0.8037578288100209,0.7899159663865546,0.7995824634655533,0.7899159663865546,0.81419624217119,7.665598917412902e-05,0.0004979560603953808,0.015389579750981361,0.008154845005359568
0.0008546352386474609,0.12732176780700682,0.7959866220735786,0.8056067106756905,-1,22,"{'n_neighbors': 22, 'n_jobs': -1}",1,0.7851239669421488,0.8092243186582809,0.775,0.8096234309623431,0.8067226890756303,0.8037578288100209,0.8067226890756303,0.7954070981210856,0.8067226890756303,0.8100208768267223,4.850012914398678e-05,0.000785578580040458,0.013456184704180914,0.005588496266493881
