mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.017501449584960936,0.013152447339595748,0.001130533218383789,5.107377848859386e-05,1e-05,"(1,)","{'alpha': 1e-05, 'hidden_layer_sizes': (1,)}",0.825,0.7583333333333333,0.8,0.7983193277310925,0.7394957983193278,0.7842296918767507,0.03092306938158285,388,0.7761506276150628,0.799163179916318,0.7740585774058577,0.7891440501043842,0.8058455114822547,0.7888723893047753,0.012452736975610234
0.09598140716552735,0.03166784714044328,0.0010230541229248047,0.0001890752833340556,1e-05,"(2,)","{'alpha': 1e-05, 'hidden_layer_sizes': (2,)}",0.8166666666666667,0.7416666666666667,0.8,0.8151260504201681,0.7394957983193278,0.7825910364145658,0.03479871064361326,409,0.7803347280334728,0.803347280334728,0.799163179916318,0.8079331941544885,0.8016701461377871,0.7984897057153588,0.009517851527445342
0.3299196720123291,0.24406449281102877,0.0012517452239990234,0.0004200836422953413,1e-05,"(3,)","{'alpha': 1e-05, 'hidden_layer_sizes': (3,)}",0.8083333333333333,0.7666666666666667,0.8,0.7983193277310925,0.7478991596638656,0.7842436974789916,0.02305026001109197,347,0.8096234309623431,0.8138075313807531,0.7949790794979079,0.8016701461377871,0.824634655532359,0.8089429687022299,0.010180767989498792
0.15208115577697753,0.03737828559830087,0.0009882450103759766,0.0001245442611169398,1e-05,"(4,)","{'alpha': 1e-05, 'hidden_layer_sizes': (4,)}",0.8166666666666667,0.7416666666666667,0.7666666666666667,0.8151260504201681,0.7394957983193278,0.7759243697478991,0.0340089477309023,456,0.803347280334728,0.8096234309623431,0.7928870292887029,0.7995824634655533,0.8288100208768268,0.8068500449856308,0.012247327215527256
0.22961297035217285,0.20422174901372103,0.0009281158447265625,9.538392877941974e-05,1e-05,"(5,)","{'alpha': 1e-05, 'hidden_layer_sizes': (5,)}",0.8,0.7583333333333333,0.8,0.8067226890756303,0.7899159663865546,0.7909943977591036,0.017190049649897014,283,0.8075313807531381,0.8263598326359832,0.8284518828451883,0.8058455114822547,0.8183716075156576,0.8173120430464443,0.009319054727502437
0.3015620231628418,0.2557705977094246,0.0009266376495361328,0.00016138557669928886,1e-05,"(6,)","{'alpha': 1e-05, 'hidden_layer_sizes': (6,)}",0.8,0.7583333333333333,0.7833333333333333,0.8067226890756303,0.7563025210084033,0.78093837535014,0.020745242519945535,430,0.8117154811715481,0.8326359832635983,0.8117154811715481,0.8183716075156576,0.8413361169102297,0.8231549340065165,0.01187474699889281
0.2609670639038086,0.19553259958125507,0.0009850025177001952,3.3253229930881194e-05,1e-05,"(7,)","{'alpha': 1e-05, 'hidden_layer_sizes': (7,)}",0.775,0.7833333333333333,0.7833333333333333,0.8067226890756303,0.7563025210084033,0.78093837535014,0.016238793691179428,430,0.8284518828451883,0.8430962343096234,0.8326359832635983,0.8288100208768268,0.8308977035490606,0.8327783649688595,0.005375533276954148
0.5090174674987793,0.34758195331005304,0.000999784469604492,0.00011139171169572411,1e-05,"(8,)","{'alpha': 1e-05, 'hidden_layer_sizes': (8,)}",0.775,0.7333333333333333,0.775,0.7647058823529411,0.7310924369747899,0.7558263305322128,0.019656073136593896,1161,0.8347280334728033,0.8368200836820083,0.8410041841004184,0.837160751565762,0.8308977035490606,0.8361221512740105,0.003305706072979323
0.31632304191589355,0.10330220616354262,0.0009581565856933594,3.1446461594544756e-05,1e-05,"(9,)","{'alpha': 1e-05, 'hidden_layer_sizes': (9,)}",0.775,0.75,0.775,0.8067226890756303,0.7142857142857143,0.7642016806722689,0.030771853991811333,663,0.8179916317991632,0.8368200836820083,0.8326359832635983,0.837160751565762,0.8496868475991649,0.8348590595819394,0.010182915960740899
0.7618849277496338,0.27637567847363914,0.0009939193725585938,7.261611538944813e-05,1e-05,"(10,)","{'alpha': 1e-05, 'hidden_layer_sizes': (10,)}",0.7583333333333333,0.6916666666666667,0.7583333333333333,0.7815126050420168,0.7647058823529411,0.7509103641456581,0.030811783799679162,1185,0.8472803347280334,0.8451882845188284,0.805439330543933,0.8392484342379958,0.8622129436325678,0.8398738655322717,0.018805646012038796
0.6467416286468506,0.33965050239557903,0.000978374481201172,3.0225834485609045e-05,1e-05,"(11,)","{'alpha': 1e-05, 'hidden_layer_sizes': (11,)}",0.725,0.7333333333333333,0.7416666666666667,0.7394957983193278,0.7058823529411765,0.7290756302521009,0.012959791745575175,1311,0.8472803347280334,0.8598326359832636,0.8451882845188284,0.8559498956158664,0.8350730688935282,0.8486648439479041,0.008677917228488395
0.9137768745422363,0.24604629417579071,0.000954437255859375,1.9130264649839524e-05,1e-05,"(12,)","{'alpha': 1e-05, 'hidden_layer_sizes': (12,)}",0.7833333333333333,0.7583333333333333,0.7583333333333333,0.773109243697479,0.6638655462184874,0.7473949579831932,0.0428234749943588,1209,0.8368200836820083,0.8661087866108786,0.8514644351464435,0.8517745302713987,0.8496868475991649,0.8511709366619788,0.009292355237512756
0.6065064907073975,0.2905383422829267,0.0009453296661376953,5.859531304887309e-05,1e-05,"(13,)","{'alpha': 1e-05, 'hidden_layer_sizes': (13,)}",0.7833333333333333,0.7166666666666667,0.7333333333333333,0.7815126050420168,0.6722689075630253,0.7374229691876751,0.04181927423499552,1260,0.8535564853556485,0.8682008368200836,0.8451882845188284,0.860125260960334,0.8622129436325678,0.8578567622574924,0.007875341144881937
0.7846331596374512,0.3249051293771495,0.000962066650390625,3.319910012772245e-05,1e-05,"(14,)","{'alpha': 1e-05, 'hidden_layer_sizes': (14,)}",0.7416666666666667,0.725,0.75,0.7394957983193278,0.7142857142857143,0.7340896358543418,0.012763968546162088,1277,0.8640167364016736,0.8598326359832636,0.8619246861924686,0.8684759916492694,0.8663883089770354,0.8641276718407422,0.0030767239354347322
1.147662305831909,0.035728327969714764,0.00096282958984375,3.887512718463456e-05,1e-05,"(15,)","{'alpha': 1e-05, 'hidden_layer_sizes': (15,)}",0.7583333333333333,0.7166666666666667,0.8,0.773109243697479,0.7142857142857143,0.7524789915966388,0.03304353463909586,1181,0.8786610878661087,0.8702928870292888,0.8682008368200836,0.8643006263048016,0.8830897703549061,0.8729090416750378,0.006926031260549046
0.8909831523895264,0.3558937737079086,0.0009561061859130859,1.7872426645804705e-05,1e-05,"(16,)","{'alpha': 1e-05, 'hidden_layer_sizes': (16,)}",0.6916666666666667,0.7083333333333334,0.725,0.7394957983193278,0.7142857142857143,0.7157563025210084,0.016041092610887105,1553,0.8451882845188284,0.8807531380753139,0.8619246861924686,0.8810020876826722,0.8643006263048016,0.866633764554817,0.01336662249940629
0.8749460697174072,0.28908373529549064,0.0009319305419921875,4.0873985002703784e-05,1e-05,"(17,)","{'alpha': 1e-05, 'hidden_layer_sizes': (17,)}",0.6583333333333333,0.6833333333333333,0.7333333333333333,0.7394957983193278,0.7394957983193278,0.7107983193277312,0.03365060970693925,1681,0.8765690376569037,0.897489539748954,0.8430962343096234,0.8705636743215032,0.8643006263048016,0.8704038224683572,0.017633064883895325
1.2570618629455566,0.027313021877895187,0.0010967254638671875,0.00019574110168119066,1e-05,"(18,)","{'alpha': 1e-05, 'hidden_layer_sizes': (18,)}",0.675,0.725,0.725,0.7647058823529411,0.7058823529411765,0.7191176470588235,0.029219962840046534,1472,0.8723849372384938,0.8744769874476988,0.8702928870292888,0.8830897703549061,0.8830897703549061,0.8766668704850588,0.0054086133272023725
1.1423455715179442,0.2563909595364593,0.0010077476501464844,3.2220716311920674e-05,1e-05,"(19,)","{'alpha': 1e-05, 'hidden_layer_sizes': (19,)}",0.6666666666666666,0.6916666666666667,0.8,0.7647058823529411,0.7394957983193278,0.7325070028011205,0.04825722473567865,1284,0.8870292887029289,0.891213389121339,0.893305439330544,0.9123173277661796,0.8851774530271399,0.8938085795896262,0.009695535605774241
